"dates","Rt_times","Rt_medians","Rt_lowerbounds","Rt_upperbounds","Rt_mean","Rt_var","Rt_a","Rt_b"
2020-10-15,64,0.923387904255034,0.689564794255511,1.20676192559704,0.929677715013411,0.0172860130758511,50,53.7820786629039
2020-10-16,65,0.949330361972997,0.713395846407372,1.23363469340612,0.955978715856958,0.0175749097148369,52,54.3945164651351
2020-10-17,66,0.94488502925749,0.710107002211469,1.2254240740233,0.951461734109481,0.0174092198360504,52,54.6527496964125
2020-10-18,67,0.915357599591638,0.682941851248732,1.19516293746851,0.921105648635043,0.0169687123189477,50,54.282589705202
2020-10-19,68,0.778215760310167,0.565025528647832,1.03727199498943,0.784329554285612,0.0146469726125206,42,53.5489192910176
2020-10-20,69,0.866545323230497,0.639554688381103,1.14022965714108,0.872485254412186,0.0165484895471021,46,52.7229540755864
2020-10-21,70,0.902816744635638,0.668509460459171,1.18621525378421,0.9100663264044,0.0176217174139404,47,51.6445874727541
2020-10-22,71,1.07054754963285,0.810130270738269,1.38426411689347,1.07741485112061,0.0214967178039858,54,50.1199699854103
2020-10-23,72,1.06332509758545,0.799334314679275,1.3835446023736,1.07046075232761,0.0220362735052651,52,48.5772130243275
2020-10-24,73,1.06450944030815,0.796815165936108,1.38255857021886,1.07046296477098,0.0224684501754172,51,47.6429373816881
2020-10-25,74,1.08524038622226,0.815818792405971,1.40812926642442,1.09100492964227,0.0228902260866103,52,47.6624794143233
2020-10-26,75,1.0696622359387,0.804578430317614,1.38874832180096,1.07699421959947,0.0223060874817438,52,48.2825246911153
2020-10-27,76,1.38085796265649,1.07803322131474,1.73416968761441,1.38718893504026,0.0282984285514431,68,49.0199988497072
2020-10-28,77,1.84439090172978,1.49196589322478,2.24742076446592,1.85131136962404,0.0372538455141223,92,49.6945038579237
2020-10-29,78,2.23858056406723,1.85220165921299,2.6713108469746,2.24511839910731,0.0442154090000891,114,50.7768321017404
2020-10-30,79,2.35547591123607,1.9675066286024,2.78818494258706,2.36142016620544,0.0439079149713523,127,53.7811956624712
2020-10-31,80,2.18429929642738,1.83300374848371,2.5773348226046,2.1894714723864,0.0363165555181353,132,60.2885224424174
2020-11-01,81,1.92315806015415,1.61640668952802,2.26627478896468,1.92716532623959,0.0273085749607362,136,70.569970385142
2020-11-02,82,1.82072403556257,1.54578322954456,2.12811541069451,1.82592807649065,0.0219342982928741,152,83.2453380596111
2020-11-03,83,1.52371442013473,1.28910031004317,1.78521186781703,1.52727460798504,0.0158678076748017,147,96.249881476089
2020-11-04,84,1.27014406705885,1.06956346994132,1.49358700907397,1.27346817871511,0.0117516029144926,138,108.365487498273
2020-11-05,85,0.970504509736401,0.803257906062998,1.15779321105196,0.972845812352503,0.00815887047079138,116,119.237805752068
2020-11-06,86,0.881015726392829,0.729067345782956,1.05385927364267,0.883641029098422,0.00690992449828424,113,127.879983249865
2020-11-07,87,0.818376113583863,0.673899361190525,0.982502343755402,0.820793284631952,0.00618074877153128,109,132.79835744377
2020-11-08,88,0.808395379226407,0.664687755419532,0.969634114648988,0.810952585347952,0.00608929718224563,108,133.176713350832
2020-11-09,89,0.758527309272475,0.619017742525495,0.918708555655255,0.761318411139679,0.00585460326404288,99,130.037575016476
2020-11-10,90,0.684174163666632,0.549470198015939,0.839693980247247,0.687106812003195,0.00548971826861854,86,125.162490747654
2020-11-11,91,0.67380671836809,0.536700284647588,0.830159422303235,0.676063595084713,0.00564274055060329,81,119.811213898968
2020-11-12,92,0.655051386082705,0.516752227925154,0.814813936550282,0.657395582363576,0.00576225268948194,75,114.086559161757
2020-11-13,93,0.628113118217719,0.490899362298996,0.791003679427148,0.631504344673117,0.00586467260795622,68,107.679385856321
2020-11-14,94,0.661495523128832,0.514945853395082,0.834212413164476,0.664938328748336,0.00659914897072582,67,100.761224166637
2020-11-15,95,0.732995899388504,0.570678642464186,0.919129226241124,0.736441744064924,0.00786009336813604,69,93.6937654011056
2020-11-16,96,0.81306821553389,0.638251901407848,1.01721540969479,0.817463726938354,0.00941192880084428,71,86.8540066798024
2020-11-17,97,0.799762403491543,0.620350394664979,1.01065801342402,0.804039044539381,0.00994582746375078,65,80.8418452330724
2020-11-18,98,0.651206785651045,0.485848769093761,0.850302064220049,0.655849495808103,0.00860277122303485,50,76.2370030313017
2020-11-19,99,0.612180452150929,0.449307416874894,0.808726831475934,0.616356263923992,0.00844211209062983,45,73.009722840343
2020-11-20,100,0.565229677181893,0.40682012495419,0.759165776118966,0.570391026335798,0.00813364807311014,40,70.1273304682941
2020-11-21,101,0.628379182022152,0.456431014255432,0.839171149430423,0.63281784577377,0.00953472442689892,42,66.3698097019452
2020-11-22,102,0.644917077410661,0.464565158891571,0.86759473079588,0.650175438495874,0.0105682025205825,40,61.5218564585224
2020-11-23,103,0.812743912837565,0.598179931239964,1.06979999889466,0.818072196367527,0.0145487417058606,46,56.22975600962
2020-11-24,104,1.14174112059022,0.87313113616588,1.45795211449959,1.14795195036924,0.0223354861077379,59,51.3958794015923
2020-11-25,105,1.60750758181132,1.27516361891383,1.99382269920974,1.61487786050862,0.0338679286280638,77,47.6816246497726
2020-11-26,106,1.77906738922709,1.42190772756222,2.19218101087672,1.78721307885455,0.0389528120637656,82,45.8814905565456
2020-11-27,107,1.78066324391301,1.42579680090358,2.18960114919994,1.78872349638409,0.0380896636490064,84,46.9608635263114
2020-11-28,108,1.67290606101826,1.34462198052613,2.05379273437462,1.67898598220173,0.0327789991677895,86,51.2213925021724
2020-11-29,109,1.48769882973856,1.19642969984764,1.82249724206242,1.49342467319282,0.0259339215639659,86,57.5857634761982
2020-11-30,110,1.32886153137326,1.06734598405117,1.63026055104371,1.33405627643645,0.0206942575430173,86,64.4650465793875
2020-12-01,111,1.08474340012911,0.86083942635995,1.34377101100213,1.0894313457164,0.0154137747666161,77,70.6790751916228
2020-12-02,112,0.934337662173823,0.734988641971221,1.16878129303815,0.93894276033381,0.0124170916504686,71,75.6169630348482
2020-12-03,113,0.857553262480887,0.669892217112303,1.08052556391697,0.861956140592741,0.0109260057103755,68,78.8903249221457
2020-12-04,114,0.931638551433974,0.737508988883576,1.15895536390619,0.936598398815166,0.0116962208088418,75,80.0770106962365
2020-12-05,115,0.930001577580803,0.733555772275464,1.15711649414688,0.933712928157517,0.0117813490838984,74,79.2534812022183
2020-12-06,116,0.940083499872577,0.739209237956265,1.1720172542737,0.944116581719992,0.0122103578065567,73,77.3209595228256
2020-12-07,117,0.935934009347129,0.732974101439616,1.17097829057956,0.940482583654454,0.0124578519740473,71,75.4931576979488
2020-12-08,118,1.04552078994426,0.832280728864603,1.29427262773661,1.05064025689838,0.0141518583258396,78,74.2404448029298
2020-12-09,119,1.00343464426455,0.792030414157972,1.2488771254745,1.00801033516906,0.0137308761595626,74,73.4119457094547
2020-12-10,120,1.17469833040414,0.944808788058518,1.44189672456234,1.17914256746034,0.0161671766790344,86,72.9343527858795
2020-12-11,121,1.11877637405389,0.893673813916402,1.37951896201679,1.12402920720646,0.0154078251055266,82,72.9518409969025
2020-12-12,122,1.10986360936167,0.887727781074651,1.36688760415697,1.11481905125795,0.0151563599639961,82,73.5545377588156
